S,ID,E,N,RTK_true,depth_begin_cm,depth_end_cm,thickness,N,OC,pH,%CF,%sand,%silt,%clay,BD_f,BD_m,CaCO3_true,c_root %,f_root %,t_root%
7,J3,522919.682,4782254.376,1,10,20,0.1,0.05,0.51,NaN,38,NaN,NaN,NaN,NaN,1285,1,0.33,0.03,0.36
7,J4,522919.682,4782254.376,1,20,30,0.1,0.04,0.30,NaN,43,NaN,NaN,NaN,NaN,1530,1,0.22,0.01,0.22
8,A1A,523801.542,4787951.209,1,0,5,0.05,0.07,0.66,7.70,6,0.73,0.14,0.13,NaN,1178,1,0.45,NaN,NaN
8,A2A,523801.542,4787951.209,1,5,0,0.05,0.07,0.40,7.75,3,0.70,0.13,0.16,NaN,1388,1,0.41,0.31,0.71
8,A3A,523801.542,4787951.209,1,10,20,0.1,0.04,0.36,7.81,2,0.71,0.12,0.17,1554,1438,1,0.82,NaN,NaN
8,A4A,523801.542,4787951.209,1,20,30,0.1,0.06,0.35,8.04,3,0.69,0.11,0.20,NaN,1454,1,0.54,0.08,0.61
8,A5A,523801.542,4787951.209,1,30,40,0.1,NaN,NaN,7.22,16,NaN,NaN,NaN,1134,NaN,1,0.41,0.06,0.46
8,A6A,523801.542,4787951.209,1,40,50,0.1,NaN,NaN,8.15,44,NaN,NaN,NaN,NaN,NaN,1,0.55,0.04,0.59
8,A1B,523801.542,4787951.209,1,0,5,0.05,0.05,0.46,NaN,3,NaN,NaN,NaN,NaN,1330,1,0.46,0.51,0.97
8,A2B,523801.542,4787951.209,1,5,0,0.05,0.05,0.33,NaN,3,NaN,NaN,NaN,NaN,1480,1,0.43,0.08,0.51
8,A3B,523801.542,4787951.209,1,10,20,0.1,0.07,0.33,NaN,3,NaN,NaN,NaN,1640,1483,1,0.50,0.31,0.81
8,A4B,523801.542,4787951.209,1,20,30,0.1,0.04,0.28,NaN,21,NaN,NaN,NaN,NaN,1566,1,0.47,0.03,0.50
8,A5B,523801.542,4787951.209,1,30,40,0.1,NaN,NaN,NaN,12,NaN,NaN,NaN,1065,NaN,1,0.48,0.03,0.51
8,A6B,523801.542,4787951.209,1,40,50,0.1,NaN,NaN,NaN,42,NaN,NaN,NaN,NaN,NaN,1,0.70,0.04,0.74
8,A1C,523801.542,4787951.209,1,0,5,0.05,0.07,0.48,NaN,2,NaN,NaN,NaN,NaN,1313,1,0.37,0.14,0.51
8,A2C,523801.542,4787951.209,1,5,0,0.05,0.06,0.35,NaN,2,NaN,NaN,NaN,NaN,1452,1,0.32,0.11,0.44
8,A3C,523801.542,4787951.209,1,10,20,0.1,0.04,0.28,NaN,3,NaN,NaN,NaN,1589,1567,1,0.34,NaN,NaN
8,A4C,523801.542,4787951.209,1,20,30,0.1,0.05,0.22,NaN,2,NaN,NaN,NaN,NaN,1691,1,0.42,NaN,NaN
8,A5C,523801.542,4787951.209,1,30,40,0.1,NaN,NaN,NaN,7,NaN,NaN,NaN,1488,NaN,1,0.52,0.03,0.55
8,A6C,523801.542,4787951.209,1,40,50,0.1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,1,0.59,0.04,0.63
8,B1,523803.709,4787950.809,1,0,5,0.05,0.12,1.23,NaN,5,NaN,NaN,NaN,NaN,966,1,0.86,0.34,1.21
8,B2,523803.709,4787950.809,1,5,0,0.05,0.09,0.65,NaN,9,NaN,NaN,NaN,NaN,1184,1,0.52,0.36,0.88
8,B3,523803.709,4787950.809,1,10,20,0.1,0.03,0.33,NaN,18,NaN,NaN,NaN,NaN,1473,1,0.38,0.01,0.39
8,B4,523803.709,4787950.809,1,20,30,0.1,0.06,0.19,NaN,23,NaN,NaN,NaN,NaN,1753,1,0.31,0.02,0.34
8,C1,523820.615,4787967.001,1,0,5,0.05,0.08,0.55,NaN,7,NaN,NaN,NaN,NaN,1256,1,0.56,0.31,0.87
8,C2,523820.615,4787967.001,1,5,0,0.05,0.04,0.38,NaN,25,NaN,NaN,NaN,NaN,1416,1,0.25,0.09,0.35
8,C3,523820.615,4787967.001,1,10,20,0.1,0.07,0.38,NaN,34,NaN,NaN,NaN,NaN,1409,1,0.14,NaN,NaN
8,C4,523820.615,4787967.001,1,20,30,0.1,0.05,0.23,NaN,36,NaN,NaN,NaN,NaN,1657,1,0.17,NaN,NaN
8,D1,523819.721,4787965.763,1,0,5,0.05,0.10,1.24,NaN,8,NaN,NaN,NaN,NaN,963,1,1.16,NaN,NaN
8,D2,523819.721,4787965.763,1,5,0,0.05,0.11,0.54,NaN,19,NaN,NaN,NaN,NaN,1257,1,0.37,NaN,NaN
8,D3,523819.721,4787965.763,1,10,20,0.1,0.06,0.47,NaN,45,NaN,NaN,NaN,NaN,1319,1,0.21,0.34,0.56
8,D4,523819.721,4787965.763,1,20,30,0.1,0.08,0.33,NaN,40,NaN,NaN,NaN,NaN,1481,1,0.19,0.19,0.38
8,E1,523807.974,4787946.013,1,0,5,0.05,0.07,0.54,NaN,10,NaN,NaN,NaN,NaN,1258,1,0.42,NaN,NaN
8,E2,523807.974,4787946.013,1,5,0,0.05,0.05,0.30,NaN,8,NaN,NaN,NaN,NaN,1527,1,0.30,NaN,NaN
8,E3,523807.974,4787946.013,1,10,20,0.1,0.02,0.21,NaN,15,NaN,NaN,NaN,NaN,1722,1,0.25,NaN,NaN
8,E4,523807.974,4787946.013,1,20,30,0.1,0.06,0.24,NaN,13,NaN,NaN,NaN,NaN,1631,1,0.36,NaN,NaN
8,F1,523808.798,4787944.793,1,0,5,0.05,0.09,0.70,NaN,11,NaN,NaN,NaN,NaN,1157,1,0.49,0.43,0.92
8,F2,523808.798,4787944.793,1,5,0,0.05,0.10,0.58,NaN,17,NaN,NaN,NaN,NaN,1233,1,0.45,0.42,0.87
8,F3,523808.798,4787944.793,1,10,20,0.1,0.09,0.43,NaN,8,NaN,NaN,NaN,NaN,1352,1,0.43,0.08,0.50
8,F4,523808.798,4787944.793,1,20,30,0.1,0.11,0.36,NaN,10,NaN,NaN,NaN,NaN,1435,1,0.53,0.08,0.61
8,G1,523790.183,4787931.845,1,0,5,0.05,0.08,0.67,NaN,19,NaN,NaN,NaN,NaN,1174,1,0.79,0.72,1.51
8,G2,523790.183,4787931.845,1,5,0,0.05,0.08,0.39,NaN,10,NaN,NaN,NaN,NaN,1404,1,0.53,0.10,0.63
8,G3,523790.183,4787931.845,1,10,20,0.1,0.08,0.33,NaN,9,NaN,NaN,NaN,NaN,1483,1,0.37,0.06,0.43
8,G4,523790.183,4787931.845,1,20,30,0.1,0.09,0.34,NaN,31,NaN,NaN,NaN,NaN,1457,1,0.26,0.04,0.30
8,H1,523790.045,4787930.276,1,0,5,0.05,0.09,0.56,NaN,13,NaN,NaN,NaN,NaN,1245,1,0.52,0.28,0.80
8,H2,523790.045,4787930.276,1,5,0,0.05,0.08,0.52,NaN,17,NaN,NaN,NaN,NaN,1277,1,0.25,0.26,0.51
8,H3,523790.045,4787930.276,1,10,20,0.1,0.08,0.45,NaN,27,NaN,NaN,NaN,NaN,1341,1,0.27,0.13,0.40
8,H4,523790.045,4787930.276,1,20,30,0.1,0.09,0.45,NaN,42,NaN,NaN,NaN,NaN,1339,1,0.21,0.06,0.27
8,I1,523807.044,4787963.06,1,0,5,0.05,0.12,0.76,NaN,9,NaN,NaN,NaN,NaN,1128,1,0.47,0.24,0.71
8,I2,523807.044,4787963.06,1,5,0,0.05,0.06,0.69,NaN,5,NaN,NaN,NaN,NaN,1162,1,0.48,0.24,0.72
8,I3,523807.044,4787963.06,1,10,20,0.1,0.08,0.24,NaN,28,NaN,NaN,NaN,NaN,1643,1,0.22,0.04,0.26
8,I4,523807.044,4787963.06,1,20,30,0.1,0.09,0.26,NaN,35,NaN,NaN,NaN,NaN,1597,1,0.11,0.07,0.18
8,J1,523807.915,4787964.245,1,0,5,0.05,0.04,0.30,NaN,11,NaN,NaN,NaN,NaN,1532,1,0.43,0.12,0.55
8,J2,523807.915,4787964.245,1,5,0,0.05,0.06,0.24,NaN,8,NaN,NaN,NaN,NaN,1636,1,0.34,0.09,0.44
8,J3,523807.915,4787964.245,1,10,20,0.1,0.09,0.34,NaN,13,NaN,NaN,NaN,NaN,1459,1,0.58,0.04,0.62
8,J4,523807.915,4787964.245,1,20,30,0.1,0.05,0.33,NaN,22,NaN,NaN,NaN,NaN,1485,1,0.36,0.02,0.38
9,A1A,520580.822,4786903.674,1,0,5,0.05,0.04,0.23,7.26,17,NaN,NaN,NaN,NaN,1759,1,0.04,NaN,NaN
9,A2A,520580.822,4786903.674,1,5,0,0.05,0.04,0.22,7.43,26,0.25,0.75,0.05,NaN,1771,1,0.04,NaN,NaN
9,A3A,520580.822,4786903.674,1,10,20,0.1,0.02,0.20,7.67,26,NaN,NaN,NaN,1288,1798,1,0.01,NaN,NaN
9,A4A,520580.822,4786903.674,1,20,30,0.1,0.03,0.18,8.21,28,0.54,0.46,0.03,1534,1825,1,0.02,NaN,NaN
9,A5A,520580.822,4786903.674,1,30,40,0.1,NaN,NaN,8.61,38,NaN,NaN,NaN,NaN,NaN,1,0.02,0.14,0.16
9,A6A,520580.822,4786903.674,1,40,50,0.1,NaN,NaN,8.73,30,NaN,NaN,NaN,NaN,NaN,1,0.01,0.02,0.03
9,A1B,520580.822,4786903.674,1,0,5,0.05,0.03,0.26,NaN,12,NaN,NaN,NaN,NaN,1734,1,0.07,0.12,0.19
9,A2B,520580.822,4786903.674,1,5,0,0.05,0.05,0.29,NaN,13,NaN,NaN,NaN,NaN,1705,1,0.02,0.11,0.13
9,A3B,520580.822,4786903.674,1,10,20,0.1,0.04,0.22,NaN,30,NaN,NaN,NaN,1699,1778,1,0.02,0.05,0.07
9,A4B,520580.822,4786903.674,1,20,30,0.1,0.03,0.13,NaN,25,NaN,NaN,NaN,2224,1923,1,0.02,0.05,0.07
9,A5B,520580.822,4786903.674,1,30,40,0.1,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,1,0.00,0.05,0.05
9,A6B,520580.822,4786903.674,1,40,50,0.1,0.07,0.19,NaN,22,NaN,NaN,NaN,NaN,1734,1,0.01,0.05,0.06
9,A1C,520580.822,4786903.674,1,0,5,0.05,0.04,0.49,NaN,9,NaN,NaN,NaN,NaN,1578,1,1.23,NaN,NaN
9,A2C,520580.822,4786903.674,1,5,0,0.05,0.03,0.33,NaN,36,NaN,NaN,NaN,NaN,1671,1,0.38,NaN,NaN
9,A3C,520580.822,4786903.674,1,10,20,0.1,0.04,0.27,NaN,26,NaN,NaN,NaN,1936,1723,1,0.03,NaN,NaN
9,A4C,520580.822,4786903.674,1,20,30,0.1,0.03,0.18,NaN,30,NaN,NaN,NaN,1678,1821,1,0.03,NaN,NaN
9,A5C,520580.822,4786903.674,1,30,40,0.1,0.05,0.15,NaN,30,NaN,NaN,NaN,NaN,1838,1,0.03,0.05,0.08
9,A6C,520580.822,4786903.674,1,40,50,0.1,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,1,0.01,0.03,0.05
9,B1,520579.486,4786906.107,1,0,5,0.05,0.14,0.90,NaN,4,NaN,NaN,NaN,NaN,1441,1,0.71,0.86,1.57
9,B2,520579.486,4786906.107,1,5,0,0.05,0.09,0.44,NaN,4,NaN,NaN,NaN,NaN,1602,1,0.52,0.20,0.71
9,B3,520579.486,4786906.107,1,10,20,0.1,0.03,0.30,NaN,3,NaN,NaN,NaN,NaN,1696,1,0.46,0.10,0.56
9,B4,520579.486,4786906.107,1,20,30,0.1,0.06,0.34,NaN,14,NaN,NaN,NaN,NaN,1663,1,0.77,0.09,0.87
9,C1,520609.505,4786895.171,1,0,5,0.05,0.15,1.52,NaN,10,NaN,NaN,NaN,NaN,1332,1,0.58,0.33,0.91
9,C2,520609.505,4786895.171,1,5,0,0.05,0.09,0.96,NaN,12,NaN,NaN,NaN,NaN,1427,1,0.67,0.01,0.68
9,C3,520609.505,4786895.171,1,10,20,0.1,0.08,0.69,NaN,28,NaN,NaN,NaN,NaN,1497,1,0.33,0.04,0.38
9,C4,520609.505,4786895.171,1,20,30,0.1,0.08,0.92,NaN,11,NaN,NaN,NaN,NaN,1436,1,0.30,0.04,0.34
9,D1,520608.969,4786893.412,1,0,5,0.05,0.10,0.83,NaN,8,NaN,NaN,NaN,NaN,1458,1,0.42,0.02,0.44
9,D2,520608.969,4786893.412,1,5,0,0.05,0.07,0.60,NaN,11,NaN,NaN,NaN,NaN,1529,1,0.45,0.05,0.50
9,D3,520608.969,4786893.412,1,10,20,0.1,0.08,0.46,NaN,10,NaN,NaN,NaN,NaN,1591,1,0.39,0.01,0.40
9,D4,520608.969,4786893.412,1,20,30,0.1,0.05,0.61,NaN,12,NaN,NaN,NaN,NaN,1527,1,0.39,0.06,0.45
9,E1,520599.205,4786885.267,1,0,5,0.05,0.04,0.33,NaN,4,NaN,NaN,NaN,NaN,1674,1,0.40,0.10,0.50
9,E2,520599.205,4786885.267,1,5,0,0.05,0.05,0.36,NaN,4,NaN,NaN,NaN,NaN,1647,1,0.42,0.04,0.46
9,E3,520599.205,4786885.267,1,10,20,0.1,0.06,0.31,NaN,10,NaN,NaN,NaN,NaN,1690,1,0.33,0.03,0.36
9,E4,520599.205,4786885.267,1,20,30,0.1,0.02,0.16,NaN,14,NaN,NaN,NaN,NaN,1861,1,0.42,0.02,0.44
9,F1,520597.777,4786884.91,1,0,5,0.05,0.15,0.99,NaN,4,NaN,NaN,NaN,NaN,1420,1,0.67,0.47,1.14
9,F2,520597.777,4786884.91,1,5,0,0.05,0.09,0.74,NaN,23,NaN,NaN,NaN,NaN,1483,1,0.44,0.12,0.57
9,F3,520597.777,4786884.91,1,10,20,0.1,0.08,0.54,NaN,7,NaN,NaN,NaN,NaN,1554,1,0.60,0.15,0.75
9,F4,520597.777,4786884.91,1,20,30,0.1,0.04,0.18,NaN,23,NaN,NaN,NaN,NaN,1830,1,0.34,0.07,0.41
9,G1,520571.634,4786885.043,1,0,5,0.05,0.06,0.40,NaN,27,NaN,NaN,NaN,NaN,1626,1,0.26,0.10,0.36
9,G2,520571.634,4786885.043,1,5,0,0.05,0.06,0.32,NaN,50,NaN,NaN,NaN,NaN,1678,1,0.35,0.05,0.40
9,G3,520571.634,4786885.043,1,10,20,0.1,0.05,0.30,NaN,32,NaN,NaN,NaN,NaN,1696,1,0.17,0.03,0.20
9,G4,520571.634,4786885.043,1,20,30,0.1,0.00,0.00,NaN,100,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
9,H1,520572.415,4786885.663,1,0,5,0.05,0.09,0.92,NaN,7,NaN,NaN,NaN,NaN,1435,1,0.66,1.04,1.70
9,H2,520572.415,4786885.663,1,5,0,0.05,0.04,0.39,NaN,26,NaN,NaN,NaN,NaN,1628,1,0.41,0.12,0.52
9,H3,520572.415,4786885.663,1,10,20,0.1,0.04,0.48,NaN,41,NaN,NaN,NaN,NaN,1581,1,0.17,0.07,0.24
9,H4,520572.415,4786885.663,1,20,30,0.1,0.00,0.21,NaN,29,NaN,NaN,NaN,NaN,1784,1,0.22,0.04,0.26
9,I1,520572.728,4786903.91,1,0,5,0.05,0.08,0.63,NaN,3,NaN,NaN,NaN,NaN,1517,1,0.46,0.22,0.67
9,I2,520572.728,4786903.91,1,5,0,0.05,0.05,0.31,NaN,3,NaN,NaN,NaN,NaN,1684,1,0.37,0.09,0.46
9,I3,520572.728,4786903.91,1,10,20,0.1,0.07,0.28,NaN,3,NaN,NaN,NaN,NaN,1708,1,0.43,0.04,0.47
9,I4,520572.728,4786903.91,1,20,30,0.1,0.07,0.29,NaN,11,NaN,NaN,NaN,NaN,1701,1,0.40,0.09,0.49
9,J1,520571.73,4786903.549,1,0,5,0.05,0.10,0.90,NaN,2,NaN,NaN,NaN,NaN,1439,1,0.50,0.46,0.95
9,J2,520571.73,4786903.549,1,5,0,0.05,0.07,0.44,NaN,2,NaN,NaN,NaN,NaN,1600,1,0.43,0.12,0.54
9,J3,520571.73,4786903.549,1,10,20,0.1,0.07,0.39,NaN,2,NaN,NaN,NaN,NaN,1627,1,0.44,0.07,0.51
9,J4,520571.73,4786903.549,1,20,30,0.1,0.04,0.35,NaN,10,NaN,NaN,NaN,NaN,1654,1,0.51,0.04,0.55
10,A1A,521997,4787958,0,0,5,0.05,0.10,0.75,7.66,11,0.52,0.44,0.05,NaN,1479,1,0.41,NaN,NaN
10,A2A,521997,4787958,0,5,0,0.05,0.07,0.45,8.10,10,0.53,0.42,0.05,NaN,1597,1,0.09,NaN,NaN
10,A3A,521997,4787958,0,10,20,0.1,0.07,0.28,8.52,9,0.52,0.42,0.05,1187,1713,1,0.03,NaN,NaN
10,A4A,521997,4787958,0,20,30,0.1,0.07,0.36,8.78,3,0.23,0.73,0.04,NaN,1649,1,0.02,NaN,NaN
10,A5A,521997,4787958,0,30,40,0.1,NaN,NaN,8.80,1,NaN,NaN,NaN,NaN,NaN,1,0.01,0.00,0.01
10,A6A,521997,4787958,0,40,50,0.1,0.07,0.36,8.70,1,NaN,NaN,NaN,NaN,1302,1,0.00,NaN,NaN
10,A1B,521997,4787958,0,0,5,0.05,0.09,0.62,NaN,17,NaN,NaN,NaN,NaN,1520,1,0.46,NaN,NaN
10,A2B,521997,4787958,0,5,0,0.05,0.06,0.29,NaN,15,NaN,NaN,NaN,NaN,1704,1,0.14,NaN,NaN
10,A3B,521997,4787958,0,10,20,0.1,0.04,0.24,NaN,17,NaN,NaN,NaN,1133,1751,1,0.08,0.00,0.09
10,A4B,521997,4787958,0,20,30,0.1,0.06,0.30,NaN,2,NaN,NaN,NaN,NaN,1691,1,0.04,0.00,0.04
10,A5B,521997,4787958,0,30,40,0.1,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,1,0.03,0.00,0.03
10,A6B,521997,4787958,0,40,50,0.1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,0.01,0.00,0.01
10,A1C,521997,4787958,0,0,5,0.05,0.13,0.94,NaN,29,NaN,NaN,NaN,NaN,1430,1,0.32,0.01,0.32
10,A2C,521997,4787958,0,5,0,0.05,0.08,0.43,NaN,18,NaN,NaN,NaN,NaN,1604,1,0.10,NaN,NaN
10,A3C,521997,4787958,0,10,20,0.1,0.03,0.38,NaN,8,NaN,NaN,NaN,1235,1635,1,0.01,0.00,0.01
10,A4C,521997,4787958,0,20,30,0.1,0.03,0.35,NaN,6,NaN,NaN,NaN,NaN,1659,1,0.02,0.00,0.02
10,A5C,521997,4787958,0,30,40,0.1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.00,0.00,0.00
10,A6C,521997,4787958,0,40,50,0.1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.00,0.00,0.01
10,B1,521996,4787959,0,0,5,0.05,0.11,1.07,NaN,0,NaN,NaN,NaN,NaN,1404,1,0.05,0.45,0.50
10,B2,521996,4787959,0,5,0,0.05,0.11,0.83,NaN,0,NaN,NaN,NaN,NaN,1457,1,0.01,0.46,0.47
10,B3,521996,4787959,0,10,20,0.1,0.07,0.62,NaN,1,NaN,NaN,NaN,NaN,1521,1,0.07,0.53,0.60
10,B4,521996,4787959,0,20,30,0.1,0.08,0.72,NaN,1,NaN,NaN,NaN,NaN,1489,1,0.04,NaN,NaN
10,C1,522000.68,4787965.54,0,0,5,0.05,0.09,0.67,NaN,5,NaN,NaN,NaN,NaN,1503,1,0.07,0.23,0.30
10,C2,522000.68,4787965.54,0,5,0,0.05,0.06,0.36,NaN,7,NaN,NaN,NaN,NaN,1649,1,0.04,0.11,0.16
10,C3,522000.68,4787965.54,0,10,20,0.1,0.03,0.20,NaN,14,NaN,NaN,NaN,NaN,1795,1,0.02,0.06,0.07
10,C4,522000.68,4787965.54,0,20,30,0.1,0.07,0.25,NaN,9,NaN,NaN,NaN,NaN,1740,1,0.08,0.06,0.14
10,D1,522001.43,4787964.54,0,0,5,0.05,0.13,0.98,NaN,7,NaN,NaN,NaN,NaN,1423,1,0.32,0.53,0.85
10,D2,522001.43,4787964.54,0,5,0,0.05,0.11,0.55,NaN,8,NaN,NaN,NaN,NaN,1551,1,0.03,0.36,0.38
10,D3,522001.43,4787964.54,0,10,20,0.1,0.04,0.31,NaN,11,NaN,NaN,NaN,NaN,1689,1,0.02,0.09,0.10
10,D4,522001.43,4787964.54,0,20,30,0.1,0.10,0.24,NaN,7,NaN,NaN,NaN,NaN,1755,1,0.01,0.11,0.11
10,E1,522013.78,4787938,0,0,5,0.05,0.06,0.42,NaN,7,NaN,NaN,NaN,NaN,1613,1,0.01,0.08,0.09
10,E2,522013.78,4787938,0,5,0,0.05,0.07,0.57,NaN,9,NaN,NaN,NaN,NaN,1539,1,0.05,0.03,0.08
10,E3,522013.78,4787938,0,10,20,0.1,0.11,1.20,NaN,13,NaN,NaN,NaN,NaN,1380,1,0.02,0.25,0.27
10,E4,522013.78,4787938,0,20,30,0.1,0.06,0.53,NaN,5,NaN,NaN,NaN,NaN,1556,1,0.02,0.08,0.09
10,F1,522011.78,4787937.5,0,0,5,0.05,0.08,0.51,NaN,10,NaN,NaN,NaN,NaN,1568,1,0.03,0.41,0.44
10,F2,522011.78,4787937.5,0,5,0,0.05,0.07,0.41,NaN,14,NaN,NaN,NaN,NaN,1617,1,0.01,0.25,0.26
10,F3,522011.78,4787937.5,0,10,20,0.1,0.06,0.47,NaN,5,NaN,NaN,NaN,NaN,1587,1,0.07,0.14,0.21
10,F4,522011.78,4787937.5,0,20,30,0.1,0.06,0.34,NaN,3,NaN,NaN,NaN,NaN,1666,1,0.01,0.09,0.10
10,G1,521973.12,4787941.9,0,0,5,0.05,0.15,1.30,NaN,4,NaN,NaN,NaN,NaN,1364,1,0.13,0.72,0.86
10,G2,521973.12,4787941.9,0,5,0,0.05,0.08,0.59,NaN,6,NaN,NaN,NaN,NaN,1532,1,0.03,0.17,0.21
10,G3,521973.12,4787941.9,0,10,20,0.1,0.08,0.42,NaN,6,NaN,NaN,NaN,NaN,1612,1,0.07,0.13,0.19
10,G4,521973.12,4787941.9,0,20,30,0.1,0.07,0.36,NaN,19,NaN,NaN,NaN,NaN,1648,1,0.00,0.06,0.07
10,H1,521974.12,4787942.4,0,0,5,0.05,0.13,1.37,NaN,4,NaN,NaN,NaN,NaN,1354,1,0.06,0.63,0.68
10,H2,521974.12,4787942.4,0,5,0,0.05,0.07,0.84,NaN,3,NaN,NaN,NaN,NaN,1455,1,0.02,0.14,0.16
10,H3,521974.12,4787942.4,0,10,20,0.1,0.05,0.61,NaN,3,NaN,NaN,NaN,NaN,1527,1,0.11,0.14,0.25
10,H4,521974.12,4787942.4,0,20,30,0.1,0.04,0.46,NaN,1,NaN,NaN,NaN,NaN,1590,1,0.01,0.08,0.09
10,I1,521995.97,4787977.67,0,0,5,0.05,0.07,0.62,NaN,13,NaN,NaN,NaN,NaN,1521,1,0.03,0.28,0.31
10,I2,521995.97,4787977.67,0,5,0,0.05,0.05,0.57,NaN,10,NaN,NaN,NaN,NaN,1541,1,0.01,0.09,0.10
10,I3,521995.97,4787977.67,0,10,20,0.1,0.04,0.28,NaN,5,NaN,NaN,NaN,NaN,1712,1,0.03,0.07,0.10
10,I4,521995.97,4787977.67,0,20,30,0.1,0.03,0.28,NaN,6,NaN,NaN,NaN,NaN,1715,1,0.02,0.04,0.06
10,J1,521994.47,4787976.92,0,0,5,0.05,0.11,0.93,NaN,9,NaN,NaN,NaN,NaN,1433,1,0.06,0.46,0.52
10,J2,521994.47,4787976.92,0,5,0,0.05,0.06,0.40,NaN,5,NaN,NaN,NaN,NaN,1623,1,0.07,0.05,0.12
10,J3,521994.47,4787976.92,0,10,20,0.1,0.00,0.16,NaN,9,NaN,NaN,NaN,NaN,1854,1,0.06,0.07,0.12
10,J4,521994.47,4787976.92,0,20,30,0.1,0.02,0.21,NaN,14,NaN,NaN,NaN,NaN,1788,1,0.00,0.03,0.03
11,A1A,521271.592,4788310.972,0,0,5,0.05,0.08,0.65,9.24,7,NaN,NaN,NaN,NaN,1349,1,0.33,NaN,NaN
11,A2A,521271.592,4788310.972,0,5,0,0.05,0.08,0.40,9.40,2,NaN,NaN,NaN,NaN,1508,1,0.02,NaN,NaN
11,A3A,521271.592,4788310.972,0,10,20,0.1,0.06,0.21,9.67,1,NaN,NaN,NaN,700,1742,1,0.01,NaN,NaN
11,A4A,521271.592,4788310.972,0,20,30,0.1,0.03,0.48,10.10,3,NaN,NaN,NaN,NaN,1443,1,0.12,0.18,0.30
11,A5A,521271.592,4788310.972,0,30,40,0.1,NaN,NaN,10.10,3,NaN,NaN,NaN,NaN,1876,1,0.04,0.03,0.07
11,A6A,521271.592,4788310.972,0,40,50,0.1,NaN,NaN,10.10,4,NaN,NaN,NaN,NaN,NaN,1,0.02,0.04,0.05
11,A1B,521271.592,4788310.972,0,0,5,0.05,0.07,1.94,NaN,11,NaN,NaN,NaN,NaN,1060,1,0.12,NaN,NaN
11,A2B,521271.592,4788310.972,0,5,0,0.05,0.07,0.38,NaN,6,NaN,NaN,NaN,NaN,1527,1,0.02,NaN,NaN
11,A3B,521271.592,4788310.972,0,10,20,0.1,0.06,0.31,NaN,2,NaN,NaN,NaN,854,1597,1,0.00,NaN,NaN
11,A4B,521271.592,4788310.972,0,20,30,0.1,0.00,0.00,NaN,20,NaN,NaN,NaN,NaN,1266,1,0.03,NaN,NaN
11,A5B,521271.592,4788310.972,0,30,40,0.1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,1,0.02,0.02,0.04
11,A6B,521271.592,4788310.972,0,40,50,0.1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,1,0.00,0.01,0.01
11,A1C,521271.592,4788310.972,0,0,5,0.05,0.13,0.19,NaN,3,NaN,NaN,NaN,NaN,1782,1,0.06,0.34,0.40
11,A2C,521271.592,4788310.972,0,5,0,0.05,0.08,0.34,NaN,2,NaN,NaN,NaN,NaN,1562,1,0.10,0.46,0.56
11,A3C,521271.592,4788310.972,0,10,20,0.1,0.06,0.32,NaN,1,NaN,NaN,NaN,930,1588,1,0.04,0.10,0.14
11,A4C,521271.592,4788310.972,0,20,30,0.1,0.03,0.23,NaN,2,NaN,NaN,NaN,NaN,1719,1,0.39,0.06,0.45
11,A5C,521271.592,4788310.972,0,30,40,0.1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,1,0.06,0.10,0.15
11,A6C,521271.592,4788310.972,0,40,50,0.1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,1775,1,0.02,0.04,0.06
11,B1,521272.592,4788311.472,0,0,5,0.05,0.15,1.37,NaN,2,NaN,NaN,NaN,NaN,1142,1,0.66,0.51,1.17
11,B2,521272.592,4788311.472,0,5,0,0.05,0.11,0.90,NaN,2,NaN,NaN,NaN,NaN,1253,1,0.20,0.26,0.47
11,B3,521272.592,4788311.472,0,10,20,0.1,0.11,0.58,NaN,6,NaN,NaN,NaN,NaN,1386,1,0.09,0.34,0.43
11,B4,521272.592,4788311.472,0,20,30,0.1,0.12,0.95,NaN,10,NaN,NaN,NaN,NaN,1240,1,0.47,0.18,0.65
11,C1,521271.266,4788312.69,0,0,5,0.05,0.06,0.35,NaN,NaN,NaN,NaN,NaN,NaN,1550,1,NaN,0.19,NaN
11,C2,521271.266,4788312.69,0,5,0,0.05,0.03,0.22,NaN,NaN,NaN,NaN,NaN,NaN,1730,1,NaN,0.08,NaN
11,C3,521271.266,4788312.69,0,10,20,0.1,0.03,0.26,NaN,NaN,NaN,NaN,NaN,NaN,1664,1,NaN,0.13,NaN
11,C4,521271.266,4788312.69,0,20,30,0.1,0.04,0.49,NaN,NaN,NaN,NaN,NaN,NaN,1439,1,NaN,0.13,NaN
